movies,categories,run_time,screen_time,n_movies
13,4,"[100540, 100667]","[0, 0]","[6, 6]"
6,5,"[100429, 104992]","[0, 0]","[4, 4]"
17,8,"[100382, 143899]","[0, 0]","[7, 7]"
3,1,"[100369, 100673]","[0, 0]","[2, 2]"
2,8,"[100508, 100676]","[0, 0]","[2, 2]"
12,9,"[100489, 103961]","[0, 0]","[5, 5]"
14,9,"[100496, 106723]","[0, 0]","[6, 6]"
6,6,"[100540, 154862]","[0, 0]","[4, 4]"
19,8,"[100408, 147588]","[0, 0]","[8, 8]"
1,2,"[100421, 100670]","[0, 0]","[1, 1]"
2,10,"[100400, 100676]","[0, 0]","[2, 2]"
15,6,"[100495, 189081]","[0, 0]","[7, 7]"
7,4,"[100442, 152872]","[0, 0]","[4, 4]"
16,10,"[100493, 100656]","[0, 0]","[6, 6]"
5,7,"[100516, 100676]","[0, 0]","[3, 3]"
15,8,"[100474, 119496]","[0, 0]","[5, 5]"
7,10,"[100443, 100746]","[0, 0]","[4, 4]"
22,3,"[100458, 100639]","[0, 0]","[7, 7]"
10,6,"[100507, 100676]","[0, 0]","[5, 5]"
12,6,"[100452, 143883]","[0, 0]","[6, 6]"
16,9,"[100419, 122760]","[0, 0]","[6, 6]"
22,7,"[100461, 119961]","[0, 0]","[8, 8]"
4,6,"[100407, 150361]","[0, 0]","[4, 4]"
5,4,"[100436, 100673]","[0, 0]","[5, 5]"
11,2,"[100379, 100653]","[0, 0]","[4, 4]"
18,9,"[100403, 101159]","[0, 0]","[7, 7]"
17,3,"[100438, 100602]","[0, 0]","[6, 6]"
5,9,"[100404, 201252]","[0, 0]","[3, 3]"
20,5,"[100472, 101019]","[0, 0]","[8, 8]"
25,2,"[100389, 100803]","[0, 0]","[8, 8]"
2,9,"[100445, 100626]","[0, 0]","[2, 2]"
6,8,"[100437, 100614]","[0, 0]","[4, 4]"
10,1,"[100437, 100603]","[0, 0]","[3, 3]"
8,3,"[100453, 100617]","[0, 0]","[4, 4]"
17,2,"[100430, 102173]","[0, 0]","[7, 7]"
20,1,"[100390, 100999]","[0, 0]","[4, 4]"
7,1,"[100418, 100588]","[0, 0]","[1, 1]"
25,10,"[100416, 100630]","[0, 0]","[10, 10]"
2,4,"[100492, 119368]","[0, 0]","[2, 2]"
1,3,"[100522, 100638]","[0, 0]","[1, 1]"
21,8,"[100414, 101157]","[0, 0]","[6, 6]"
1,4,"[100426, 100730]","[0, 0]","[1, 1]"
12,4,"[100417, 100954]","[0, 0]","[7, 7]"
3,5,"[100473, 103499]","[0, 0]","[2, 2]"
16,1,"[100465, 103503]","[0, 0]","[3, 3]"
15,2,"[100397, 100987]","[0, 0]","[5, 5]"
7,6,"[100395, 100647]","[0, 0]","[4, 4]"
1,1,"[100518, 100627]","[0, 0]","[1, 1]"
5,1,"[100450, 100666]","[0, 0]","[3, 3]"
10,8,"[100459, 103267]","[0, 0]","[5, 5]"
2,2,"[100403, 125302]","[0, 0]","[2, 2]"
18,8,"[100458, 100710]","[0, 0]","[7, 7]"
20,3,"[100394, 100645]","[0, 0]","[6, 6]"
18,3,"[100427, 100596]","[0, 0]","[7, 7]"
3,7,"[100422, 100669]","[0, 0]","[3, 3]"
9,9,"[100485, 100654]","[0, 0]","[6, 6]"
25,4,"[100436, 104120]","[0, 0]","[7, 7]"
10,10,"[100483, 102203]","[0, 0]","[5, 5]"
7,7,"[100465, 219146]","[0, 0]","[5, 5]"
9,2,"[100434, 103807]","[0, 0]","[5, 5]"
9,5,"[100462, 104799]","[0, 0]","[6, 6]"
6,1,"[100419, 104024]","[0, 0]","[4, 4]"
7,9,"[100421, 100810]","[0, 0]","[5, 5]"
3,4,"[100486, 100970]","[0, 0]","[3, 3]"
24,7,"[100507, 100668]","[0, 0]","[9, 9]"
16,7,"[100427, 103322]","[0, 0]","[7, 7]"
8,10,"[100471, 100703]","[0, 0]","[5, 5]"
23,4,"[100458, 115096]","[0, 0]","[7, 7]"
4,2,"[100440, 103981]","[0, 0]","[3, 3]"
23,6,"[100434, 100678]","[0, 0]","[7, 7]"
15,4,"[100427, 100741]","[0, 0]","[7, 7]"
9,6,"[100409, 100670]","[0, 0]","[6, 6]"
23,2,"[100398, 105997]","[0, 0]","[5, 5]"
14,10,"[100400, 100684]","[0, 0]","[6, 6]"
20,6,"[100409, 100608]","[0, 0]","[6, 6]"
18,4,"[100389, 100688]","[0, 0]","[7, 7]"
18,6,"[100435, 100706]","[0, 0]","[7, 7]"
6,4,"[100471, 100656]","[0, 0]","[5, 5]"
6,9,"[100492, 100994]","[0, 0]","[4, 4]"
2,6,"[100521, 100644]","[0, 0]","[2, 2]"
19,9,"[100379, 100703]","[0, 0]","[6, 6]"
1,7,"[100419, 103224]","[0, 0]","[1, 1]"
17,10,"[100387, 102873]","[0, 0]","[7, 7]"
20,7,"[100455, 102201]","[0, 0]","[7, 7]"
17,4,"[100521, 101617]","[0, 0]","[7, 7]"
23,5,"[100424, 100627]","[0, 0]","[7, 7]"
21,6,"[100421, 100688]","[0, 0]","[8, 8]"
19,5,"[100454, 100739]","[0, 0]","[7, 7]"
6,7,"[100509, 154189]","[0, 0]","[4, 4]"
8,7,"[100415, 104671]","[0, 0]","[5, 5]"
8,5,"[100446, 100665]","[0, 0]","[6, 6]"
3,8,"[100467, 101702]","[0, 0]","[3, 3]"
10,9,"[100432, 103641]","[0, 0]","[6, 6]"
25,5,"[100483, 107780]","[0, 0]","[9, 9]"
7,2,"[100523, 105585]","[0, 0]","[4, 4]"
9,8,"[100466, 100682]","[0, 0]","[5, 5]"
14,3,"[100495, 100632]","[0, 0]","[7, 7]"
13,2,"[100389, 100627]","[0, 0]","[7, 7]"
25,3,"[100416, 100698]","[0, 0]","[7, 7]"
17,5,"[100403, 106526]","[0, 0]","[6, 6]"
22,2,"[100488, 100682]","[0, 0]","[8, 8]"
3,2,"[100416, 104131]","[0, 0]","[3, 3]"
13,7,"[100423, 104212]","[0, 0]","[5, 5]"
16,8,"[100418, 100948]","[0, 0]","[7, 7]"
21,5,"[100561, 141143]","[0, 0]","[9, 9]"
14,8,"[100528, 100684]","[0, 0]","[6, 6]"
13,6,"[100515, 104436]","[0, 0]","[5, 5]"
8,1,"[100524, 100636]","[0, 0]","[3, 3]"
4,8,"[100442, 104131]","[0, 0]","[2, 2]"
24,3,"[100449, 100864]","[0, 0]","[7, 7]"
5,2,"[100522, 100662]","[0, 0]","[3, 3]"
8,2,"[100534, 100592]","[0, 0]","[5, 5]"
19,6,"[100398, 100641]","[0, 0]","[7, 7]"
20,2,"[100398, 100645]","[0, 0]","[6, 6]"
5,5,"[100532, 102991]","[0, 0]","[3, 3]"
13,3,"[100460, 101756]","[0, 0]","[5, 5]"
23,10,"[100428, 101225]","[0, 0]","[6, 6]"
20,8,"[100441, 100668]","[0, 0]","[6, 6]"
24,10,"[100426, 100595]","[0, 0]","[9, 9]"
9,1,"[100469, 101346]","[0, 0]","[1, 1]"
22,9,"[100506, 113409]","[0, 0]","[7, 7]"
12,10,"[100410, 101082]","[0, 0]","[6, 6]"
1,9,"[100465, 101460]","[0, 0]","[1, 1]"
21,7,"[100509, 104552]","[0, 0]","[10, 10]"
17,7,"[100408, 104122]","[0, 0]","[7, 7]"
16,2,"[100470, 100764]","[0, 0]","[4, 4]"
23,9,"[100463, 101118]","[0, 0]","[7, 7]"
25,9,"[100462, 101178]","[0, 0]","[8, 8]"
19,3,"[100385, 100680]","[0, 0]","[6, 6]"
21,2,"[100443, 100618]","[0, 0]","[6, 6]"
4,9,"[100444, 130761]","[0, 0]","[3, 3]"
19,2,"[100488, 100637]","[0, 0]","[7, 7]"
11,6,"[100515, 104683]","[0, 0]","[5, 5]"
9,3,"[100436, 104468]","[0, 0]","[6, 6]"
14,5,"[100431, 106738]","[0, 0]","[6, 6]"
22,4,"[100467, 141321]","[0, 0]","[6, 6]"
13,1,"[100506, 100704]","[0, 0]","[2, 2]"
3,3,"[100403, 103333]","[0, 0]","[2, 2]"
19,4,"[100484, 100824]","[0, 0]","[6, 6]"
16,3,"[100396, 104865]","[0, 0]","[6, 6]"
15,10,"[100466, 100656]","[0, 0]","[6, 6]"
